2023-04-17 05:51:45	P4D4EUM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:52:04	P4D4EWM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:52:24	P4D4EYM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:52:42	P4D4EZM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:52:59	P4D4EDM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:55:31	P4D4LHM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:55:40	P4D4G0M1E653298023A30	TCONLESS	BMS3
2023-04-17 05:55:46	P4D4G1M1E653298023A30	TCONLESS	BMS3
2023-04-17 05:55:52	P4D4FYM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:55:58	P4D4H5M1E653298023A30	TCONLESS	BMS3
2023-04-17 05:56:04	P4D4HPM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:56:10	P4D4HMM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:56:16	P4D4HJM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:56:28	P4D4HHM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:56:35	P4D4HFM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:58:15	P4D4HDM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:58:22	P4D4HAM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:58:49	P4D4GYM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:58:55	P4D4GMM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:59:02	P4D4GKM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:59:08	P4D4JTM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:59:15	P4D4JJM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:59:22	P4D4JXM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:59:29	P4D4JVM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:59:35	P4D4JSM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:59:42	P4D4JQM1E653298023A30	TCONLESS	BMS3
2023-04-17 05:59:48	P4D4JNM1E653298023A30	TCONLESS	BMS3
